Verb,Pronunciation,SinhalaMeanings,Usage
entertain,/ˌentəˈteɪn/,"විනෝද කරනවා,
(ඉල්ලීමක්) සලකා බලනවා","~ someone
~ something"
entrap,/ɪnˈtræp/,උගුලකට හසු කර ගන්නවා,~ someone/something (into doing something)
entrust,/ɪnˈtrʌst/,(වගකීමක්) බාරකරනවා,~ A (to B)
envy,/ˈenvi/,ඊර්ෂ්‍යා කරනවා,~ someone/something
equal,/ˈiːkwəl/,සමාන වෙනවා,~ something
equalise,/ˈiːkwəlaɪz/,සමාන කරනවා,~ something
equate,/iˈkweɪt/,සමාන ලෙස සිතනවා,~ something (with something)
equip,/ɪˈkwɪp/,(උපකරණයක්) සම්පාදනය කරනවා,~ someone/something (with something)
eradicate,/ɪˈrædɪkeɪt/,මුලින් උපුටා දමනවා,~ something (from something)
erase,/ɪˈreɪz/,මකා දමනවා,~ something (from something)
erode,/ɪˈrəʊd/,"ඛාදනය වෙනවා,
ක්‍රමයෙන් විනාශ වෙනවා",~ (something) (away)
escalate,/ˈeskəleɪt/,ක්‍රමයෙන් වැඩි වෙනවා,~ (something) (into something)
escape,/ɪˈskeɪp/,"බේරෙනවා,
පලායනවා","~ (from someone/something)
~ something"
escort,/ɪˈskɔːt/,පරෙස්සමින් ඇරලනවා,~ someone (adv./prep.)
establish,/ɪˈstæblɪʃ/,"පිහිටුවනවා,
ස්ථාපනය කරනවා,
තහවුරු කරනවා","~ something
~ someone/something (in something) (as something)"
estimate,/ˈestɪmeɪt/,තක්සේරු කරනවා,~ something (at something)
eulogize,/ˈjuːlədʒaɪz/,බොහොම ඉහළින් වර්ණනා කරනවා,~ someone/something
evacuate,/ɪˈvækjueɪt/,(මිනිසුන්ගෙන්) හිස් කරනවා,"~ something
~ someone (from …) (to …)"
evade,/ɪˈveɪd/,මගහරිනවා,~ someone/something
evaluate,/ɪˈvæljueɪt/,තත්වය ගණනය කරනවා,~ something
evaporate,/ɪˈvæpəreɪt/,"වාෂ්ප වෙනවා,
වාෂ්ප කරනවා",~ (something)
evict,/ɪˈvɪkt/,(ගෙදරකින්/ඉඩමකින්) එළවනවා,~ someone (from something)
evoke,/ɪˈvəʊk/,(හැඟීම්/මතක ආදිය) උපද්දනවා/අවුස්සනවා,~ something
evolve,/iˈvɒlv/,පරිණාමය වෙනවා,~ (from something) (into something)
exaggerate,/ɪɡˈzædʒəreɪt/,"වැඩිකර පෙන්වනවා,
අතිශයෝක්තියෙන් කියනවා",~ something
examine,/ɪɡˈzæmɪn/,පරීක්ෂා කරනවා,~ someone/something
exasperate,/ɪɡˈzæspəreɪt/,"තරහ ගස්සනවා,
අවුස්සනවා",~ someone
excavate,/ˈekskəveɪt/,කණිනවා,~ something
exceed,/ɪkˈsiːd/,ඉක්මවා යනවා,~ something
excel,/ɪkˈsel/,උත්කෘෂ්ට වෙනවා,~ (in/at something)
except,/ɪkˈsept/,බැහැර කරනවා,~ someone/something
exchange,/ɪksˈtʃeɪndʒ/,හුවමාරු කරගන්නවා,"~ something with someone
~ something for something"
excite,/ɪkˈsaɪt/,සිතිවිලි කළඹනවා,~ someone
exclaim,/ɪkˈskleɪm/,එක පාරටම හඬ නගා කියනවා,~ (that)
exclude,/ɪkˈskluːd/,බැහැර කරනවා,~ someone/something (from something)
excuse,/ɪkˈskjuːz/,"සමාව දෙනවා,
වගකීමෙන් නිදහස් කරනවා",~ someone/something (for something)
execute,/ˈeksɪkjuːt/,"මරණ දඬුවම දෙනවා,
ක්‍රියාත්මක කරනවා","~ someone (for something)
~ something"
exemplify,/ɪɡˈzemplɪfaɪ/,"යමකට ආදර්ශයක්ව පවතිනවා,
උදාහරණ දෙනවා",~ something
exercise,/ˈeksəsaɪz/,"ව්‍යායාම කරනවා,
ව්‍යායාම කරවනවා,
භාවිතයේ යොදවනවා",~ (something)
exhale,/eksˈheɪl/,ප්‍රාශ්වාස කරනවා,~ (something)
exhasut,/ɪɡˈzɔːst/,"ගොඩක් මහන්සි කරනවා,
හිස් කරනවා,
ඉවර කරනවා","~ someone
~ something"
exhibit,/ɪɡˈzɪbɪt/,ප්‍රදර්ශනය කරනවා,~ (something) (at/in …)
exhilarate,/ɪɡˈzɪləreɪt/,මහත් සේ සතුට පත් කරනවා,~ someone
exile,/ˈeksaɪl/,පිටුවහල් කරනවා,~ someone (from …)
exist,/ɪɡˈzɪst/,පවතිනවා,
exit,/ˈeɡzɪt/,පිටවෙනවා,"~ (adv./prep.)
~ from something
~ something"
expand,/ɪkˈspænd/,"ව්‍යාප්ත වෙනවා,
ව්‍යාප්ත කරනවා",~ (something)
expect,/ɪkˈspekt/,"අපේක්ෂා කරනවා,
බලාපොරොත්තු වෙනවා",~ (something) (from/of someone/something)
experience,/ɪkˈspɪəriəns/,යමක් අත් දකිනවා,~ something
experiment,/ɪkˈsperɪmənt/,අත්හදා බැලීම්/පරීක්ෂණ කරනවා,"~ (on someone/something)
~ with something"
expire,/ɪkˈspaɪə(r)/,"කල් ඉකුත් වෙනවා,
අවලංගු වෙනවා",
explain,/ɪkˈspleɪn/,කරුණු පැහැදිලි කරදෙනවා,"~ (something) (to someone)
~ that...
~ wh-"
explode,/ɪkˈspləʊd/,"පිපිරෙනවා,
පුපුරවනවා",~ (something)
exploit,/ɪkˈsplɔɪt/,"සූරාකනවා,
අසීමිතව/අසාධාරණ විදියට ප්‍රයෝජනයට ගන්නවා","~ something
~ someone"
explore,/ɪkˈsplɔː(r)/,ගවේෂණය කරනවා,~ (something) (for something)
export,/ɪkˈspɔːt/,"අපනයනය කරනවා,
පිටරට යවනවා",~ (something) (to someone)
expose,/ɪkˈspəʊz/,අනාවරණය කරනවා,~ someone/something (to someone/something)
express,/ɪkˈspres/,"(සිතිවිල්ලක්/අදහසක්) ප්‍රකාශ කරනවා,
මිරිකා යුෂ ගන්නවා","~ something (to someone)
~ something (from something)"
extend,/ɪkˈstend/,දික් කරනවා,~ something
